Sample1,Sample2,Distance
182,4010,0.038431254
182,4436,0.422743789
182,5039,0.115293761
182,5472,0.533362507
182,6510,0.913
186,5403,0.4565
186,5993,0.989862507
200,296,0.840812536
200,494,0.725518775
200,662,0.99453755
200,759,0.494931254
200,1072,0.725518775
200,1335,0.917675043
200,1369,0.691762564
200,1567,0.53803755
200,1928,0.879243789
200,1935,0.687087521
200,2117,0.687087521
200,2664,0.768625071
200,2888,0.687087521
200,3237,0.956106296
200,3308,0.802381282
200,3749,0.99453755
200,4319,0.913
200,4380,0.840812536
200,4714,0.840812536
200,5211,0.571793761
200,5498,0.879243789
200,5553,0.989862507
200,5728,0.99453755
200,5730,0.571793761
200,5900,0.879243789
200,6373,0.922350085
200,6491,0.802381282
200,6729,0.763950028
200,6959,0.648656268
208,680,0.989862507
208,5632,0.230587521
208,6160,0.956106296
208,6182,0.461175043
212,377,0.989862507
212,892,0.499606296
212,1328,0.989862507
212,1331,0.951431254
212,2291,0.989862507
212,2991,0.4565
212,3647,0.4565
212,3768,0.494931254
223,4366,0.951431254
228,2729,0.533362507
249,5506,0.989862507
249,5595,0.951431254
273,377,0.879243789
273,2991,0.802381282
273,4417,0.951431254
273,6528,0.763950028
275,684,0.840812536
275,2265,0.687087521
275,3384,0.4565
275,4056,0.989862507
275,4639,0.989862507
275,4782,0.840812536
275,4948,0.922350085
275,5109,0.610225014
275,6032,0.571793761
275,6229,0.956106296
288,974,0.989862507
288,1735,0.989862507
288,1875,0.951431254
288,2596,0.989862507
288,2923,0.989862507
288,4633,0.913
288,5109,0.763950028
288,6229,0.494931254
290,5378,0.675012997
296,410,0.956106296
296,494,0.115293761
296,509,0.763950028
296,542,0.99453755
296,662,0.153725014
296,690,0.610225014
296,710,0.53803755
296,759,0.422743789
296,771,0.725518775
296,884,0.610225014
296,985,0.840812536
296,1047,0.917675043
296,1072,0.65333131
296,1335,0.076862507
296,1369,0.763950028
296,1389,0.533362507
296,1454,0.687087521
296,1487,0.99453755
296,1567,0.610225014
296,1729,0.922350085
296,1812,0.807056325
296,1833,0.610225014
296,1928,0.038431254
296,1934,0.956106296
296,2029,0.494931254
296,2079,0.989862507
296,2117,0.153725014
296,2130,0.533362507
296,2522,0.65333131
296,2664,0.840812536
296,2709,0.610225014
296,2752,0.99453755
296,2755,0.917675043
296,2824,0.610225014
296,2833,0.648656268
296,2888,0.153725014
296,3138,0.345881282
296,3237,0.115293761
296,3308,0.038431254
296,3494,0.956106296
296,3513,0.614900057
296,3569,0.989862507
296,3670,0.648656268
296,3674,0.571793761
296,3749,0.153725014
296,3797,0.192156268
296,4004,0.571793761
296,4059,0.384312536
296,4086,0.913
296,4092,0.494931254
296,4125,0.913
296,4150,0.840812536
296,4236,0.840812536
296,4319,0.840812536
296,4380,0.913
296,4469,0.956106296
296,4533,0.99453755
296,4557,0.192156268
296,4714,0
296,4810,0.725518775
296,5163,0.917675043
296,5211,0.269018775
296,5279,0.687087521
296,5328,0.883918832
296,5438,0.461175043
296,5498,0.038431254
296,5553,0.763950028
296,5607,0.951431254
296,5621,0.610225014
296,5630,0.687087521
296,5697,0.461175043
296,5728,0.153725014
296,5730,0.269018775
296,5770,0.951431254
296,5900,0.038431254
296,6099,0.230587521
296,6286,0.422743789
296,6330,0.4565
296,6352,0.951431254
296,6373,0.99453755
296,6380,0.571793761
296,6441,0.53803755
296,6491,0.038431254
296,6601,0.571793761
296,6697,0.725518775
296,6729,0.076862507
296,6751,0.725518775
296,6764,0.917675043
296,6779,0.951431254
296,6959,0.192156268
311,368,0.989862507
311,409,0.956106296
311,556,0.956106296
311,2092,0.951431254
311,2613,0.725518775
311,3452,0.648656268
311,3846,0.763950028
311,4342,0.571793761
311,4777,0.687087521
311,5026,0.571793761
311,5042,0.730193818
311,5577,0.951431254
323,1240,0.840812536
323,2359,0.038431254
323,2883,0.648656268
